50,2.5,0.7,0.6,1,2,1.17,292365,60627.6
250,3,1.5,1.4,0.6,1,4.59,740833,665559
250,2.5,1.5,1.4,1,4,12.16,1.46736e+06,190
250,2,1.5,1.4,1.4,6,15.78,899112,265
250,3,0.7,1.4,1.4,6,38.69,1.66095e+08,154
250,2.5,1.5,0.6,1.4,6,15.96,1.57045e+07,260
250,3,1.5,1.4,1.4,2,6.78,1.62097e+06,160
50,2.5,1.5,0.6,0.6,1,2.7,107015,98178.6
250,2,0.7,1,1,2,16.73,24433,124
50,3,0.7,1,0.6,6,1.8,2.72424e+08,1.01732e+08
50,2.5,0.7,1.4,1.4,2,1.13,107200,31144
50,2.5,0.7,0.6,0.6,6,3.1,2.11144e+07,1.52968e+06
50,2.5,0.7,1.4,0.6,2,1.18,554801,107015
250,2,0.7,1,0.6,4,6.27,211,191
50,2,0.7,1.4,1.4,4,1.17,111727,31182
250,2,0.7,1.4,1,1,10.67,13987,11722
50,3,0.7,1.4,1.4,6,3.37,3.82728e+08,330
50,2.5,0.7,1,1.4,4,1.21,5.19379e+06,195
50,2,1.5,1,0.6,6,9.05,611757,291
250,3,0.7,1,1,2,16.98,3.01438e+06,124
250,2.5,1.5,1,1,1,11.88,98178.6,93930.7
50,3,0.7,1.4,0.6,4,2.03,2.32195e+07,219530
250,2.5,1.5,0.6,0.6,4,36.53,507737,192
250,2.5,0.7,1,1.4,1,10.62,93930.7,33350.2
50,2,1.5,0.6,1,1,2.38,18027,14464
50,2,1.5,0.6,1,4,1.48,301286,301286
250,3,0.7,0.6,1,1,3.93,740833,256044
50,2.5,1.5,0.6,0.6,4,8.18,1.44179e+06,1.44179e+06
50,2,1.5,1,1,2,1.34,20812,16883
250,3,1.5,0.6,1,2,7.04,1.55614e+06,171
250,3,1.5,1.4,0.6,2,3.91,1.97113e+06,197
50,2.5,0.7,0.6,1,2,0.67,424843,102540
250,2.5,1.5,1,1,4,12.01,831561,227
50,2.5,0.7,0.6,1.4,4,1.22,6.71864e+06,165
250,2,1.5,1,1,4,12.44,113068,227
250,2.5,1.5,1,0.6,6,16.24,4.09935e+06,257
250,2.5,0.7,1,1.4,1,10.54,98178.6,54385.5
250,2.5,1.5,0.6,1,2,3.93,182201,187
250,3,0.7,0.6,1.4,2,6.47,185,127
50,2,0.7,1,0.6,4,1.22,181836,162
250,2,0.7,0.6,0.6,6,37.17,262439,8149
250,2.5,0.7,1,1,2,3.69,189,143
250,2,1.5,1,1,6,8.98,592307,270
50,2,0.7,1.4,0.6,2,1.17,9268,8514
250,2,1.5,1,1,4,6.41,67163,192
50,2.5,0.7,0.6,0.6,6,1.89,1.67221e+07,6.98882e+06
50,2,0.7,1,1.4,1,0.44,17469,13057
50,3,1.5,1,1,2,0.77,1.55614e+06,1.55614e+06
50,2,0.7,1,1,1,0.78,12604,5224
50,2.5,1.5,1,0.6,1,0.53,107015,107015
250,2.5,0.7,1.4,1.4,1,10.53,98178.6,31144
50,3,0.7,1.4,0.6,1,0.46,279978,279978
